title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Berserk,2,Manga,380,41,On Hiatus,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']",9.44,1,"['Miura, Kentarou']",Young Animal
Boku no Hero Academia,75989,Manga,,,Publishing,['Action'],8.2,395,"['Horikoshi, Kouhei']",Shounen Jump (Weekly)
Boruto: Naruto Next Generations,95210,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",6.93,8461,"['Ikemoto, Mikio', 'Kodachi, Ukyou']",V-Jump
Break Blade,4608,Manga,,,Publishing,"['Action', 'Drama', 'Fantasy']",7.75,1343,"['Yoshinaga, Yunosuke']",Comic Meteor
Code Geass: Hangyaku no Lelouch,1528,Manga,40,8,Finished,"['Action', 'Drama', 'Sci-Fi', 'Supernatural']",7.61,1907,"['Taniguchi, Gorou', 'Ookouchi, Ichirou', 'Majiko!']",Asuka (Monthly)
Desuraba,114660,Manga,112,8,Finished,['Ecchi'],6.03,15047,"['Tomohiro, Kai', 'Kazutaka']",Magazine pocket
Jigokuraku,112318,Manga,128,13,Finished,['Action'],8.26,322,"['Kaku, Yuuji']",Shounen Jump+
Jujutsu Kaisen,113138,Manga,,,Publishing,"['Action', 'Fantasy']",8.56,92,"['Akutami, Gege']",Shounen Jump (Weekly)
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",100448,Manga,18,3,Finished,['Drama'],8.8,32,"['Taguchi, Shouichi', 'Miaki, Sugaru']",Shounen Jump+
Made in Abyss,91941,Manga,,,Publishing,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi']",8.79,33,"['Tsukushi, Akihito']",Web Comic Gamma
Mushoku Tensei: Isekai Ittara Honki Dasu,70259,Manga,,,Publishing,['Fantasy'],8.15,458,"['Fujikawa, Yuka', 'Rifujin na Magonote']",Comic Flapper
One Punch-Man,44347,Manga,,,Publishing,"['Action', 'Comedy']",8.73,44,"['Murata, Yusuke', 'ONE']",Tonari no Young Jump
Oyasumi Punpun,4632,Manga,147,13,Finished,"['Drama', 'Slice of Life']",9.04,8,"['Asano, Inio']",Big Comic Spirits
Sayonara Eri,145863,One-shot,1,,Finished,['Drama'],8.76,39,"['Fujimoto, Tatsuki']",Shounen Jump+
Undead Unluck,123956,Manga,,,Publishing,"['Action', 'Comedy', 'Supernatural']",7.21,5083,"['Tozuka, Yoshifumi']",Shounen Jump (Weekly)
Vinland Saga,642,Manga,,,Publishing,"['Action', 'Adventure', 'Award Winning', 'Drama']",8.99,10,"['Yukimura, Makoto']",Afternoon
Bastard,111213,Manhwa,94,5,Finished,"['Drama', 'Horror', 'Mystery', 'Romance']",8.55,97,"['Kim, Carnby', 'Hwang, Young-chan']",Naver Webtoon
Bleach,12,Manga,705,74,Finished,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",7.76,1290,"['Kubo, Tite']",Shounen Jump (Weekly)
Chainsaw Man,116778,Manga,97,11,Finished,"['Action', 'Adventure', 'Award Winning']",8.72,45,"['Fujimoto, Tatsuki']",Shounen Jump (Weekly)
Dr. Stone,103897,Manga,,26,Finished,"['Adventure', 'Award Winning', 'Sci-Fi']",8.21,373,"['Inagaki, Riichiro', 'Boichi']",Shounen Jump (Weekly)
Fire Punch,98270,Manga,83,8,Finished,"['Action', 'Mystery', 'Supernatural']",7.8,1164,"['Fujimoto, Tatsuki']",Shounen Jump+
Homunculus,936,Manga,166,15,Finished,"['Drama', 'Horror', 'Mystery', 'Supernatural']",8.34,232,"['Yamamoto, Hideo']",Big Comic Spirits
Houseki no Kuni,44489,Manga,,,Publishing,"['Action', 'Drama', 'Fantasy']",8.93,15,"['Ichikawa, Haruko']",Afternoon
JoJo no Kimyou na Bouken Part 6: Stone Ocean,3009,Manga,158,17,Finished,"['Action', 'Adventure']",8.25,333,"['Araki, Hirohiko']",Shounen Jump (Weekly)
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,1706,Manga,96,24,Finished,"['Action', 'Adventure', 'Horror', 'Mystery', 'Supernatural']",9.27,2,"['Araki, Hirohiko']",Ultra Jump
JoJo no Kimyou na Bouken Part 8: JoJolion,25515,Manga,110,27,Finished,"['Action', 'Adventure', 'Award Winning', 'Mystery', 'Supernatural']",8.45,149,"['Araki, Hirohiko']",Ultra Jump
Kimetsu no Yaiba,96792,Manga,207,23,Finished,"['Action', 'Fantasy']",8.3,272,"['Gotouge, Koyoharu']",Shounen Jump (Weekly)
Shingeki no Kyojin,23390,Manga,141,34,Finished,"['Action', 'Award Winning', 'Drama']",8.58,84,"['Isayama, Hajime']",Bessatsu Shounen Magazine
One Piece,13,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",9.18,3,"['Oda, Eiichiro']",Shounen Jump (Weekly)
Shigahime,110922,Manga,31,5,Finished,['Horror'],6.89,8870,"['Sato, Hirohisa']",Comic Zenon
"""Oshi no Ko""",126146,Manga,,,Publishing,"['Drama', 'Supernatural']",8.49,127,"['Akasaka, Aka', 'Yokoyari, Mengo']",Young Jump
1-nen A-gumi no Monster,112398,Manga,,,Publishing,['Drama'],6.47,13313,['Hideki'],Comic REX
Akai Kiri no Naka kara,129984,Manga,,,Publishing,[],7.45,2921,"['Nohara, Mosae']",GFantasy
Akai Ringo,131434,Manga,,,Publishing,"['Drama', 'Erotica']",6,,"['Murata, Kouji']",Comic Days
Asshou,104523,Manga,,,Publishing,"['Mystery', 'Romance', 'Slice of Life']",5.36,15481,['Shoko'],Ura Sunday
Ayakashi Triangle,127545,Manga,,,Publishing,"['Action', 'Comedy', 'Romance', 'Ecchi']",6.64,11742,"['Yabuki, Kentarou']",Shounen Jump (Weekly)
Blue Lock,114745,Manga,,,Publishing,"['Award Winning', 'Sports']",8.44,154,"['Kaneshiro, Muneyuki', 'Nomura, Yuusuke']",Shounen Magazine (Weekly)
Brutal: Satsujin Keisatsukan no Kokuhaku,122936,Manga,,,Publishing,['Drama'],7.84,1045,"['Koga, Kei', 'Izawa, Ryou']",Comic Tatan
Btooom!,20593,Manga,125,27,Finished,"['Action', 'Drama', 'Sci-Fi', 'Erotica']",7.56,,"['Inoue, Junya']",Comic@Bunch
Candy & Cigarettes,103444,Manga,54,11,Finished,['Action'],7.44,2955,"['Inoue, Tomonori']",Young Magazine (Monthly)
Chi no Wadachi,104271,Manga,,,Publishing,['Drama'],8.02,656,"['Oshimi, Shuuzou']",Big Comic Superior
Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin,106810,Manga,,,Publishing,"['Action', 'Fantasy']",7.36,3611,"['Kugayama, Reki', 'Kurokata']",Comp Ace
Choujin X,131403,Manga,,,Publishing,"['Action', 'Supernatural']",7.13,5943,"['Ishida, Sui']",Tonari no Young Jump
Dandadan,135496,Manga,,,Publishing,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural']",8.16,436,"['Tatsu, Yukinobu']",Shounen Jump+
Dead Tube,78943,Manga,,,Publishing,['Erotica'],6.69,,"['Kitakawa, Touta', 'Yamaguchi, Mikoto']",Champion RED
