title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Sensei no Bulge,37601,Manga,16,2,Finished,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",6.58,12302,"['Horikoshi, Kouhei']",Shounen Jump (Weekly)
Star Wars: Lost Stars,119739,Manga,17,3,Finished,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",7.36,3584,"['Komiyama, Yuusaku', 'Gray, Claudia']",LINE Manga
Tales of Berseria,101263,Manga,21,3,Finished,"['Action', 'Fantasy']",7.17,5552,"['Aonagi, Nobu']",Comic REX
Yakusoku no Neverland: Tokubetsu Bangai-hen - Haha no Ketsui,131969,One-shot,1,,Finished,"['Horror', 'Mystery', 'Sci-Fi']",7.44,2947,"['Demizu, Posuka', 'Shirai, Kaiu']",Shounen Jump (Weekly)
Yakusoku no Neverland: Tokubetsu Bangai-hen - Jijyuu no Sora wo Motomete,131755,One-shot,1,,Finished,"['Horror', 'Mystery', 'Sci-Fi']",7.13,5949,"['Demizu, Posuka', 'Shirai, Kaiu']",Shounen Jump (Weekly)
Yakusoku no Neverland: Tokubetsu Yomikiri - We Were Born,132483,One-shot,1,,Finished,"['Action', 'Drama', 'Mystery']",6.47,13325,"['Demizu, Posuka', 'Shirai, Kaiu']",Shounen Jump (Weekly)
Yumi's Cells,113095,Manhwa,527,13,Finished,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",7.88,927,"['Lee, Dong-Gun']",Naver Webtoon
Dekoboko Majo no Oyako Jijou,124053,Manga,,,Publishing,"['Comedy', 'Fantasy', 'Slice of Life', 'Supernatural']",6.79,10125,['Piroya'],Comic Meteor
Dragon Drive,935,Manga,57,14,Finished,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",6.98,7878,"['Sakura, Kenichi']",Shounen Jump (Monthly)
Gakkyuu Houtei,82197,Manga,24,3,Finished,['Mystery'],6.69,11277,"['Obata, Takeshi', 'Enoki, Nobuaki']",Shounen Jump (Weekly)
Hellper,61583,Manhwa,188,18,Finished,"['Action', 'Fantasy', 'Supernatural']",7.96,766,['Sakk'],Naver Webtoon
Himouto! Umaru-chan,50133,Manga,229,12,Finished,"['Comedy', 'Slice of Life']",7.4,3284,['SankakuHead'],Young Jump
Kuutei Dragons,101479,Manga,,,Publishing,"['Adventure', 'Fantasy']",7.43,3023,"['Kuwabara, Taku']",good! Afternoon
Maou no Hajimekata the Comic,89737,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Erotica']",6.8,,"['Komiya, Toshimasa', 'Yakan, Warau']",Comic Valkyrie
Mirai Delivery: Chiisana Asimov to Midori no Wasuremono,111268,Manga,11,2,Finished,"['Adventure', 'Sci-Fi']",,19113,"['Miyama, Fugin', 'Ooshio, Satoshi']",Comptiq
Strawberry Fields wo Mou Ichido,106021,Manga,25,3,Finished,"['Comedy', 'Girls Love', 'Romance']",7.24,4828,"['Kinosaki, Kazura']",@vitamin
