title,mal_id,type,chapters,volumes,status,genres,score,rank,author,serializations
Sensei no Bulge,37601,Manga,16.0,2.0,Finished,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",6.58,12302.0,"['Horikoshi, Kouhei']",Shounen Jump (Weekly)
Star Wars: Lost Stars,119739,Manga,17.0,3.0,Finished,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",7.36,3584.0,"['Komiyama, Yuusaku', 'Gray, Claudia']",LINE Manga
Tales of Berseria,101263,Manga,21.0,3.0,Finished,"['Action', 'Fantasy']",7.17,5552.0,"['Aonagi, Nobu']",Comic REX
Yakusoku no Neverland: Tokubetsu Bangai-hen - Haha no Ketsui,131969,One-shot,1.0,,Finished,"['Horror', 'Mystery', 'Sci-Fi']",7.44,2947.0,"['Demizu, Posuka', 'Shirai, Kaiu']",Shounen Jump (Weekly)
Yakusoku no Neverland: Tokubetsu Bangai-hen - Jijyuu no Sora wo Motomete,131755,One-shot,1.0,,Finished,"['Horror', 'Mystery', 'Sci-Fi']",7.13,5949.0,"['Demizu, Posuka', 'Shirai, Kaiu']",Shounen Jump (Weekly)
Yakusoku no Neverland: Tokubetsu Yomikiri - We Were Born,132483,One-shot,1.0,,Finished,"['Action', 'Drama', 'Mystery']",6.47,13325.0,"['Demizu, Posuka', 'Shirai, Kaiu']",Shounen Jump (Weekly)
Yumi's Cells,113095,Manhwa,527.0,13.0,Finished,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",7.88,927.0,"['Lee, Dong-Gun']",Naver Webtoon
Dekoboko Majo no Oyako Jijou,124053,Manga,,,Publishing,"['Comedy', 'Fantasy', 'Slice of Life', 'Supernatural']",6.79,10125.0,['Piroya'],Comic Meteor
Dragon Drive,935,Manga,57.0,14.0,Finished,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",6.98,7878.0,"['Sakura, Kenichi']",Shounen Jump (Monthly)
Gakkyuu Houtei,82197,Manga,24.0,3.0,Finished,['Mystery'],6.69,11277.0,"['Obata, Takeshi', 'Enoki, Nobuaki']",Shounen Jump (Weekly)
Hellper,61583,Manhwa,188.0,18.0,Finished,"['Action', 'Fantasy', 'Supernatural']",7.96,766.0,['Sakk'],Naver Webtoon
Himouto! Umaru-chan,50133,Manga,229.0,12.0,Finished,"['Comedy', 'Slice of Life']",7.4,3284.0,['SankakuHead'],Young Jump
Kuutei Dragons,101479,Manga,,,Publishing,"['Adventure', 'Fantasy']",7.43,3023.0,"['Kuwabara, Taku']",good! Afternoon
Maou no Hajimekata the Comic,89737,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Erotica']",6.8,,"['Komiya, Toshimasa', 'Yakan, Warau']",Comic Valkyrie
Mirai Delivery: Chiisana Asimov to Midori no Wasuremono,111268,Manga,11.0,2.0,Finished,"['Adventure', 'Sci-Fi']",,19113.0,"['Miyama, Fugin', 'Ooshio, Satoshi']",Comptiq
Strawberry Fields wo Mou Ichido,106021,Manga,25.0,3.0,Finished,"['Comedy', 'Girls Love', 'Romance']",7.24,4828.0,"['Kinosaki, Kazura']",@vitamin
The Makeup Remover,120793,Manhwa,26.0,7.0,Finished,"['Comedy', 'Romance']",7.62,1883.0,"['Lee, Yeon']",Naver Webtoon
Zelda no Densetsu: Twilight Princess,96581,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.83,1057.0,"['Himekawa, Akira']",MangaONE
Bungou Stray Dogs: Beast,123006,Manga,22.0,4.0,Finished,"['Action', 'Drama', 'Supernatural']",8.49,133.0,"['Asagiri, Kafka', 'Hoshikawa, Shiwasu']",Shounen Ace
GDGD-DOGS,21385,Manga,40.0,3.0,Finished,['Comedy'],6.66,11549.0,"['Tooyama, Ema']",ARIA
Hetalia Axis Powers,8878,Manga,,6.0,Finished,['Comedy'],7.92,853.0,"['Himaruya, Hidekaz']",Comic Birz
Juui-san no Oshigoto in Isekai,99384,Manga,,,Publishing,['Fantasy'],6.42,13640.0,"['hu-ko', 'Aozora, Choco']",AlphaPolis Web Manga
"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",113169,Manga,,,Publishing,"['Action', 'Fantasy', 'Romance']",7.62,1869.0,"['Teshima, Fuminori', 'Itagaki, Hako']",Comic Fire
No Game No Life,48397,Manga,,,Publishing,"['Comedy', 'Fantasy', 'Ecchi']",7.97,732.0,"['Kamiya, Yuu', 'Hiiragi, Mashiro']",Comic Alive
No.5,10984,Manga,37.0,8.0,Finished,"['Sci-Fi', 'Suspense']",7.45,2888.0,"['Matsumoto, Taiyou']",Ikki
Rettougan no Tensei Majutsushi: Shiitagerareta Motoyuusha wa Mirai no Sekai wo Yoyuu de Ikinuku,119997,Manga,,,Publishing,"['Action', 'Fantasy']",6.45,13498.0,"['Touge, Hiro', 'Kankitsu, Yusura']",Suiyoubi wa Mattari Dash X Comic
Seiyuu Ka!,14633,Manga,70.0,12.0,Finished,"['Drama', 'Romance']",8.05,616.0,"['Minami, Maki']",Hana to Yume
Shingeki! Kyojin Chuugakkou,36535,Manga,96.0,11.0,Finished,['Comedy'],7.04,7086.0,"['Nakagawa, Saki']",Bessatsu Shounen Magazine
Shokei sareta Kenja wa Lich ni Tensei shite Shinryaku Sensou wo Hajimeru,131071,Manga,,,Publishing,"['Action', 'Fantasy']",7.09,6480.0,"['Yuuki, Karaku', 'Kunitomo, Shoutarou']",Manga UP!
Splatoon,89995,Manga,,,Publishing,"['Comedy', 'Fantasy']",6.53,12773.0,"['Hinodeya, Sankichi']",Bessatsu CoroCoro Comic
Star Wars: Leia - Oujo no Shiren,132574,Manga,,,Publishing,"['Drama', 'Sci-Fi']",,27602.0,"['Haruichi', 'Gray, Claudia']",LINE Manga
Super Mario Adventures: Mario no Daibouken,6043,Manga,13.0,1.0,Finished,"['Action', 'Adventure', 'Comedy', 'Fantasy']",7.23,4896.0,"['Takekuma, Kentarou', 'Sakura, Tamakichi']",CoroCoro Comic
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,114843,Manga,,,Publishing,"['Action', 'Fantasy', 'Romance']",7.06,6892.0,"['nini', 'Yashuu']",MAGCOMI
Toaru Majutsu no Index,7775,Manga,,,Publishing,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Supernatural']",7.72,1447.0,"['Kamachi, Kazuma', 'Kogino, Chuuya']",Shounen Gangan
Toshokan Sensou: Love & War,7630,Manga,90.0,15.0,Finished,"['Action', 'Romance', 'Sci-Fi']",8.04,624.0,"['Arikawa, Hiro', 'Yumi, Kiiro']",LaLa
1 Second,138443,Manhwa,,,Publishing,"['Action', 'Supernatural']",,23738.0,"['Sini', 'Gwang-un']",Naver Webtoon
11eyes: Tsumi to Batsu to Aganai no Shoujo,19745,Manga,12.0,3.0,Finished,"['Action', 'Fantasy', 'Romance', 'Supernatural', 'Ecchi']",6.39,13820.0,"['Ayano, Naoto']",Comp Ace
Ghost Girl,128150,Manga,,,Publishing,"['Action', 'Supernatural']",6.4,13804.0,"['Ikeda, Akihisa']",Shounen Jump+
Heart Gear,119321,Manga,,,Publishing,"['Action', 'Adventure', 'Sci-Fi']",7.55,2241.0,"['Takaki, Tsuyoshi']",Shounen Jump+
Hoshiakari Graphics,108233,Manga,23.0,3.0,Finished,[],,30329.0,"['Yamamoto, Kazune']",Harta
Hypnosis Mic: Before The Battle - The Dirty Dawg,117044,Manga,21.0,4.0,Finished,['Action'],7.99,703.0,"['Momose, Yuuichirou', 'Karasuzuki, Rui']",Shounen Magazine Edge
Kimi no Koto nado Zettai ni,81075,Manga,22.0,4.0,Finished,['Romance'],7.1,6366.0,"['Tanaka, Meca']",LaLa
Kino no Tabi: The Beautiful World,105916,Manga,22.0,5.0,Finished,"['Adventure', 'Fantasy', 'Mystery']",7.54,2335.0,"['Sigsawa, Keiichi', 'Gou']",Dengeki Daioh
Kujonin,109299,Manga,,,Publishing,"['Action', 'Adventure', 'Fantasy']",7.31,4022.0,"['Asakawa, Keiji', 'Hanabokuro']",Comp Ace
Little Witch Academia,104064,Manga,17.0,3.0,Finished,"['Adventure', 'Comedy', 'Fantasy']",7.39,3316.0,"['Yoshinari, You', 'Satou, Keisuke']",Shounen Ace
Nanbaka,93398,Manga,,,Publishing,"['Action', 'Comedy', 'Drama']",7.75,1344.0,"['Futamata, Shou']",comico
Nande Koko ni Sensei ga!?,100274,Manga,,,Publishing,"['Comedy', 'Ecchi']",6.87,9165.0,['Soborou'],Young Magazine (Weekly)
Odd Girl Out,119521,Manhwa,,,Publishing,"['Comedy', 'Slice of Life']",7.92,839.0,['Morangji'],Naver Webtoon
Red,12713,Manga,151.0,19.0,Finished,"['Action', 'Adventure', 'Drama']",7.61,1939.0,"['Muraeda, Kenichi']",Young Magazine Uppers
Rikei ga Koi ni Ochita no de Shoumei shitemita.,99528,Manga,,,Publishing,"['Comedy', 'Romance']",7.32,3956.0,"['Yamamoto, Alfred']",Comic Meteor
"Sayonara Isekai, Mata Kite Ashita",140026,Manga,,,Publishing,"['Adventure', 'Fantasy']",,24029.0,"['Kazamidori', 'kesima']",Comic Brise
Shouha Shouten!,140868,Manga,,,Publishing,['Comedy'],7.29,4291.0,"['Obata, Takeshi', 'Asakura, Akinari']",Jump SQ.
Sokuochi Mayuri-chan,120296,Manga,27.0,1.0,Finished,"['Comedy', 'Romance', 'Slice of Life', 'Ecchi']",6.55,12646.0,"['Suaru, Hajime']",ComicWalker
Toshokan no Daimajutsushi,110771,Manga,,,Publishing,['Fantasy'],8.32,255.0,"['Izumi, Mitsu']",good! Afternoon
Vivy: Fluorite Eye's Song,135396,Manga,,,Publishing,"['Action', 'Sci-Fi']",7.74,1367.0,"['Yamataka, Morito']",MAGCOMI
Weak Hero,128231,Manhwa,,,Publishing,"['Action', 'Drama']",8.08,570.0,"['RAZEN', 'Seopass']",Naver Webtoon
Yari no Yuusha no Yarinaoshi,108166,Manga,,,Publishing,"['Adventure', 'Fantasy']",7.05,6981.0,"['Neet', 'Aneko, Yusagi']",ComicWalker
Yosuga no Sora,15821,Manga,14.0,2.0,Finished,"['Drama', 'Romance']",6.75,10536.0,"['Mikaze, Takashi']",Comp Ace
Mushoku Tensei: Eris wa Honki de Kiba wo Togu,145006,Manga,,,Publishing,['Fantasy'],7.37,3520.0,"['Rifujin na Magonote', 'Higake, Take']",Gangan Online
Air Gear - Trick:358,95449,One-shot,1.0,,Finished,"['Action', 'Ecchi']",7.4,3214.0,['Oh! Great'],Shounen Magazine (Weekly)
Angel Beats! The 4-koma: Osora no Shinda Sekai kara,65497,Manga,,2.0,Finished,"['Action', 'Comedy', 'Supernatural']",7.0,7692.0,"['Komowata, Haruka']",Dengeki G's magazine
Angel Beats!: Track Zero,16648,Light Novel,9.0,1.0,Finished,"['Action', 'Comedy', 'Drama', 'Supernatural']",7.67,1635.0,"['Maeda, Jun', 'GotoP']",Dengeki G's magazine
Another 0,36199,Manga,2.0,1.0,Finished,"['Drama', 'Horror', 'Mystery', 'Supernatural']",6.87,9217.0,"['Kiyohara, Hiro', 'Ayatsuji, Yukito']",Young Ace
