,Rank,Change in rank2007 - 2013,Country,Milk consumption 2013 (kg/capita/yr) [1],Milk consumption 2007 (kg/capita/yr) [2],Unnamed: 5
0,1,,Finland,430.76,361.19,
1,2,4.0,Montenegro,349.21,305.87,
2,3,,Netherlands,341.47,320.15,
3,4,2.0,Sweden,341.23,355.86,
4,5,1.0,Switzerland,318.69,315.78,
5,6,2.0,Albania,303.72,277.52,
6,7,1.0,Lithuania,295.46,273.87,
7,8,10.0,Ireland,291.86,247.17,
8,9,3.0,Kazakhstan,288.12,262.61,
9,10,11.0,Estonia,284.85,238.86,
10,11,4.0,Denmark,277.3,295.62,
11,12,1.0,Norway,261.34,261.52,
12,13,4.0,Germany,258.7,247.24,
13,14,9.0,Austria,258.09,235.11,
14,15,6.0,Luxembourg,255.3,265.9,
15,16,11.0,Greece,255.26,314.69,
16,17,1.0,United States,254.69,253.8,
17,18,3.0,Italy,246.88,256.1,
18,19,5.0,France,241.31,260.48,
19,20,10.0,Romania,238.33,266.19,
20,21,1.0,Belgium,236.19,238.47,
21,22,3.0,Slovenia,235.01,246.44,
22,23,1.0,Australia,234.49,230.92,
23,24,4.0,United Kingdom,232.2,241.47,
24,25,2.0,Croatia,231.02,217.52,
25,26,1.0,Iceland,225.82,223.68,
26,27,10.0,Kyrgyzstan,210.92,179.28,
27,28,16.0,Uruguay,210.54,163.26,
28,29,28.0,Armenia,209.03,136.12,
29,30,3.0,Poland,205.39,198.51,
30,31,5.0,Portugal,205.04,222.94,
31,32,2.0,Czech Republic (Czechia),195.2,195.47,
32,33,5.0,Argentina,195.08,213.1,
33,34,21.0,Turkey,193.94,138.71,
34,35,3.0,Israel,193.6,178.33,
35,36,1.0,Malta,190.06,188.64,
36,37,7.0,Canada,187.77,206.83,
37,38,2.0,Costa Rica,183.28,176.29,
38,39,8.0,Pakistan,183.13,159.0,
39,40,11.0,Latvia,174.11,208.66,
40,41,10.0,Bosnia and Herzegovina,174.03,196.68,
41,42,4.0,Spain,164.29,177.49,
42,43,1.0,Russia,163.57,172.46,
43,44,14.0,Mauritania,160.82,135.3,
44,45,4.0,Hungary,159.05,175.59,
45,46,10.0,North Macedonia,157.93,137.1,
46,47,34.0,Kuwait,157.66,106.67,
47,48,2.0,Bulgaria,155.71,151.75,
48,49,13.0,Sudan,155.2,180.68,
49,50,5.0,Moldova,155.18,163.13,
50,51,,Oman,152.28,,
51,52,17.0,Azerbaijan,152.07,119.1,
52,53,12.0,Brazil,149.28,124.61,
53,54,3.0,Georgia,149.26,151.32,
54,55,6.0,Serbia,148.53,154.93,
55,56,14.0,Ukraine,145.03,172.74,
56,57,5.0,Slovakia,143.14,130.1,
57,58,16.0,Guyana,141.68,113.4,
58,59,13.0,Algeria,141.53,117.36,
59,60,8.0,Mongolia,139.82,145.31,
60,61,29.0,Ecuador,139.6,91.5,
61,62,22.0,New Zealand,137.25,103.79,
62,63,9.0,Turkmenistan,137.09,140.33,
63,64,31.0,Dominica,136.93,195.98,
64,65,17.0,Belarus,133.73,156.1,
65,66,18.0,United Arab Emirates,132.66,110.1,
66,67,14.0,Uzbekistan,130.81,143.36,
67,68,4.0,El Salvador,124.34,126.0,
68,69,10.0,Antigua and Barbuda,123.74,135.0,
69,70,23.0,Venezuela,117.79,87.29,
70,71,20.0,Botswana,117.74,88.89,
71,72,3.0,Mauritius,117.27,112.18,
72,73,16.0,Chile,116.11,93.0,
73,74,8.0,Cape Verde (Cape Verde),115.64,124.55,
74,75,7.0,Lebanon,114.52,106.0,
75,76,4.0,Tunisia,114.47,106.91,
76,77,31.0,Cyprus,113.31,159.11,
77,78,5.0,Mexico,111.87,115.18,
78,79,20.0,Maldives,111.47,79.1,
79,80,,Syria,111.43,,
80,81,11.0,Barbados,110.48,118.61,
81,82,14.0,Colombia,108.47,122.57,
82,83,22.0,New Caledonia,108.0,131.4,
83,84,,Hong Kong,105.85,,
84,85,3.0,Bahamas,104.76,93.18,
85,86,7.0,Trinidad and Tobago,103.8,107.0,
86,87,,Netherlands Antilles,103.22,,
87,88,14.0,Cuba,99.94,75.5,
88,89,21.0,Mali,98.68,61.5,
89,90,30.0,Bermuda,95.56,132.98,
90,91,5.0,Kenya,94.86,98.64,
91,92,9.0,French Polynesia,93.56,105.0,
92,93,22.0,Honduras,91.33,118.0,
93,94,16.0,Jamaica,91.13,108.42,
94,95,9.0,Saint Vincent and the Grenadines,87.62,69.86,
95,96,2.0,Saint Kitts and Nevis,87.36,86.84,
96,97,2.0,Grenada,86.88,85.79,
97,98,1.0,Nicaragua,85.16,84.23,
98,99,6.0,India,84.5,68.72,
99,100,13.0,Saudi Arabia,83.65,97.23,
100,101,34.0,Saint Lucia,80.65,122.97,
101,102,6.0,Belize,80.3,85.12,
102,103,,Seychelles,79.23,,
103,104,12.0,Jordan,77.68,88.1,
104,105,7.0,Paraguay,75.72,59.66,
105,106,,Libya,75.0,,
106,107,4.0,Dominican Republic,73.75,60.39,
107,108,8.0,Namibia,73.05,77.16,
108,109,8.0,Japan,72.06,76.45,
109,110,47.0,Brunei,70.47,129.11,
110,111,5.0,Panama,70.29,66.94,
111,112,4.0,Afghanistan,62.23,,
112,113,2.0,Peru,62.15,56.11,
113,114,7.0,Djibouti,59.81,66.49,
114,115,6.0,Egypt,59.46,61.81,
115,116,,Niger,58.92,50.0,
116,117,,Eswatini (Swaziland),56.6,49.42,
117,118,5.0,South Africa,55.75,57.92,
118,119,1.0,Morocco,54.68,44.49,
119,120,6.0,Tajikistan,54.54,57.59,
120,121,21.0,Samoa,52.55,20.25,
121,122,,Nepal,52.1,40.89,
122,123,,Occupied Palestinian Territory,,49.17,
123,124,8.0,Suriname,48.97,28.19,
124,125,2.0,Iran,46.69,66.12,
125,126,5.0,Guatemala,46.6,40.9,
126,127,6.0,Bolivia,46.04,28.1,
127,128,9.0,Gambia,45.71,25.15,
128,129,14.0,Ethiopia,44.14,18.87,
129,130,3.0,Yemen,43.97,30.87,
130,131,,Taiwan,41.72,,
131,132,6.0,Tanzania,40.29,23.1,
132,133,7.0,Fiji,40.2,35.34,
133,134,,Macau,37.46,,
134,135,4.0,Uganda,37.27,23.1,
135,136,9.0,Sri Lanka,34.98,36.1,
136,137,9.0,China,32.66,28.7,
137,138,9.0,Zimbabwe,31.9,28.61,
138,139,3.0,Myanmar,31.48,25.52,
139,140,17.0,Gabon,30.16,37.37,
140,141,5.0,Burkina Faso,29.79,16.67,
141,142,1.0,Thailand,29.35,22.48,
142,143,9.0,South Korea,29.05,26.9,
143,144,20.0,Malaysia,25.28,36.89,
144,145,1.0,Lesotho,25.35,18.0,
145,146,16.0,Vanuatu,25.21,28.42,
146,147,16.0,Madagascar,24.84,28.25,
147,148,29.0,São Tomé and Príncipe,22.58,45.1,
148,149,,Iraq,22.18,,
149,150,3.0,Bangladesh,21.91,16.18,
150,151,11.0,Chad,20.63,22.79,
151,152,1.0,Guinea,20.62,14.59,
152,153,4.0,Guinea-Bissau,19.88,15.36,
153,154,2.0,Haiti,18.98,14.11,
154,155,20.0,Senegal,16.86,26.35,
155,156,1.0,Vietnam,16.36,11.91,
156,157,12.0,Philippines,15.66,17.83,
157,158,5.0,Cameroon,15.27,13.16,
158,159,2.0,Indonesia,14.82,11.48,
159,160,10.0,Central African Republic,13.53,14.72,
160,161,7.0,Angola,12.3,12.6,
161,162,,Eritrea,11.57,,
162,163,1.0,Solomon Islands,11.52,7.18,
163,164,,Comoros,11.15,,
164,165,11.0,East Timor,10.96,2.93,
165,166,9.0,Kiribati,10.93,3.46,
166,167,8.0,Congo,10.69,11.1,
167,168,5.0,Zambia,9.71,7.35,
168,169,8.0,Ghana,9.08,8.48,
169,170,10.0,Benin,8.4,8.72,
170,171,3.0,Malawi,7.98,3.52,
171,172,5.0,Togo,7.96,5.15,
172,173,9.0,Nigeria,7.91,8.1,
173,174,26.0,Rwanda,7.23,15.48,
174,175,7.0,Ivory Coast,6.36,5.14,
175,176,11.0,Sierra Leone,7.0,5.63,
176,177,5.0,Mozambique,4.79,4.12,
177,178,,Burundi,4.6,,
178,179,10.0,North Korea,3.79,4.82,
179,180,14.0,Cambodia,3.47,5.59,
180,181,11.0,Laos,2.92,4.63,
181,182,9.0,Liberia,3.04,3.82,
182,177,,DR Congo,,1.28,
