,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,12:00 AM,61,59,94,15,0,29.77,0.0,SSE,Light Rain Shower,2021-12-1
1,12:23 AM,61,59,94,20,31,29.77,0.0,SSE,Light Rain Shower,2021-12-1
2,12:30 AM,63,59,88,24,0,29.77,0.0,S,Light Rain Shower / Windy,2021-12-1
3,12:34 AM,63,59,88,23,0,29.77,0.0,S,Heavy Rain Shower / Windy,2021-12-1
4,12:47 AM,63,59,88,22,0,29.74,0.0,S,Rain Shower / Windy,2021-12-1
5,1:00 AM,63,61,94,22,0,29.72,0.0,S,Light Rain Shower / Windy,2021-12-1
6,1:30 AM,63,61,94,24,0,29.69,0.0,S,Light Rain Shower / Windy,2021-12-1
7,1:39 AM,63,61,94,23,0,29.69,0.0,S,Heavy Rain Shower / Windy,2021-12-1
8,2:00 AM,63,61,94,23,0,29.66,0.0,SSW,Rain Shower / Windy,2021-12-1
9,2:16 AM,64,61,88,20,31,29.66,0.0,SSW,Light Rain Shower,2021-12-1
10,2:30 AM,64,61,88,21,36,29.63,0.0,S,Heavy Rain Shower / Windy,2021-12-1
11,2:32 AM,64,61,88,38,49,29.66,0.0,S,Heavy Rain Shower / Windy,2021-12-1
12,3:00 AM,63,61,94,29,0,29.60,0.0,S,Light Rain Shower / Windy,2021-12-1
13,3:30 AM,63,61,94,28,0,29.57,0.0,S,Light Rain Shower / Windy,2021-12-1
14,4:00 AM,64,61,88,28,0,29.57,0.0,S,Rain Shower / Windy,2021-12-1
15,4:30 AM,63,61,94,30,0,29.51,0.0,SSE,Rain Shower / Windy,2021-12-1
16,4:41 AM,63,61,94,28,39,29.51,0.0,SSE,T-Storm / Windy,2021-12-1
17,5:00 AM,63,61,94,20,0,29.51,0.0,S,T-Storm,2021-12-1
18,5:03 AM,64,63,94,18,0,29.51,0.0,S,Heavy T-Storm,2021-12-1
19,5:17 AM,64,63,94,20,0,29.48,0.0,S,Heavy Rain Shower,2021-12-1
20,5:22 AM,63,63,100,18,30,29.48,0.0,S,Heavy Rain Shower,2021-12-1
21,5:29 AM,63,61,94,21,0,29.45,0.0,S,Heavy Rain Shower / Windy,2021-12-1
22,5:30 AM,63,61,94,22,0,29.45,0.0,S,Heavy Rain Shower / Windy,2021-12-1
23,5:32 AM,63,61,94,22,35,29.45,0.0,S,Heavy Rain Shower / Windy,2021-12-1
24,5:39 AM,63,63,100,25,37,29.45,0.0,S,Rain Shower / Windy,2021-12-1
25,6:00 AM,64,63,94,31,43,29.42,0.0,S,Rain Shower / Windy,2021-12-1
26,6:17 AM,64,63,94,29,0,29.42,0.0,S,Heavy Rain Shower / Windy,2021-12-1
27,6:30 AM,63,63,100,24,0,29.42,0.0,S,Heavy Rain Shower / Windy,2021-12-1
28,6:36 AM,63,63,100,10,0,29.39,0.0,S,Heavy Rain Shower,2021-12-1
29,6:47 AM,64,63,94,18,32,29.42,0.0,WSW,Heavy Rain Shower,2021-12-1
30,6:49 AM,64,63,94,30,0,29.42,0.0,SSW,Heavy Rain Shower / Windy,2021-12-1
31,7:00 AM,64,64,100,31,45,29.42,0.0,SSW,Heavy Rain Shower / Windy,2021-12-1
32,7:07 AM,64,64,100,28,44,29.39,0.0,SSW,Heavy Rain Shower / Windy,2021-12-1
33,7:17 AM,64,64,100,16,0,29.33,0.0,S,Light Rain Shower,2021-12-1
34,7:30 AM,66,64,94,21,0,29.36,0.0,SSW,Light Rain Shower / Windy,2021-12-1
35,7:46 AM,64,63,94,18,0,29.36,0.0,SSW,Rain Shower,2021-12-1
36,8:00 AM,64,63,94,16,0,29.36,0.0,SW,Light Rain Shower,2021-12-1
37,8:23 AM,66,64,94,18,30,29.36,0.0,SW,Showers in the Vicinity,2021-12-1
38,8:30 AM,66,64,94,15,0,29.36,0.0,SW,Showers in the Vicinity,2021-12-1
39,9:00 AM,61,57,88,17,0,29.36,0.0,W,Mostly Cloudy,2021-12-1
40,9:30 AM,59,57,94,12,0,29.39,0.0,WNW,Mostly Cloudy,2021-12-1
41,10:00 AM,61,57,88,6,0,29.39,0.0,WNW,Fair,2021-12-1
42,10:22 AM,63,57,82,12,23,29.39,0.0,S,Fair,2021-12-1
43,10:30 AM,64,59,83,18,0,29.39,0.0,SSW,Fair,2021-12-1
44,10:37 AM,68,61,78,18,32,29.36,0.0,SSW,Fair,2021-12-1
45,11:00 AM,70,46,43,29,44,29.36,0.0,SW,Fair / Windy,2021-12-1
